0,1,2,3,4,5,6,7,8,9
4.0,0.0,-1324_0,69.8,Vehicle,34.93,766.43,762.9,12.01,VehicleFlowWestToSouth.0
5.0,0.0,-1356_0,-101.4,Bus,28.36,560.25,1567.12,5.13,BusFlowEastWest0.0
5.0,0.0,28925528_1,-28.74,Bus,39.26,694.12,1253.72,11.37,BusFlowNorthSouth0.0
5.0,0.0,239331354_0,160.22,Bus,35.94,499.49,1193.84,10.32,BusFlowSouthNorth0.0
5.0,0.0,-240120122_0,67.65,Bus,36.47,699.73,902.32,10.58,BusFlowWestEast0.0
5.0,0.0,-1274_0,10.65,Vehicle,43.9,479.19,1860.66,13.01,VehicleFlowEastToNorth.0
5.0,0.0,-1274_0,16.81,Vehicle,19.03,503.15,1854.08,6.88,VehicleFlowEastToSouth.0
5.0,0.0,-1274_0,16.81,Vehicle,5.67,515.95,1850.21,1.57,VehicleFlowEastToWest.0
5.0,0.0,-1354_0,-93.35,Vehicle,44.21,423.04,1813.93,12.43,VehicleFlowEastToWest_0.0
5.0,0.0,-1280#0_0,-55.09,Vehicle,45.59,733.89,2317.3,12.82,VehicleFlowEastToWest_1.0
5.0,0.0,-1328#0_1,18.54,Vehicle,41.02,1010.17,614.36,12.84,VehicleFlowWestToEast.0
5.0,0.0,229259796#0_0,71.4,Vehicle,47.88,667.44,1025.76,13.46,VehicleFlowWestToEast_0.0
5.0,0.0,-1328#0_0,18.54,Vehicle,17.4,1031.45,603.75,7.03,VehicleFlowWestToNorth.0
5.0,0.0,-1324_0,69.8,Vehicle,47.53,762.07,774.74,12.6,VehicleFlowWestToSouth.0
6.0,0.0,-1356_0,-101.4,Bus,33.67,561.29,1561.92,5.31,BusFlowEastWest0.0
6.0,0.0,28925528_1,-18.22,Bus,52.91,681.2,1249.47,13.65,BusFlowNorthSouth0.0
6.0,0.0,239331354_0,160.22,Bus,47.73,510.54,1197.81,11.78,BusFlowSouthNorth0.0
6.0,0.0,-240120122_0,67.65,Bus,48.46,695.17,913.41,11.99,BusFlowWestEast0.0
6.0,0.0,-1274_0,10.65,Vehicle,59.53,463.83,1863.55,15.63,VehicleFlowEastToNorth.0
6.0,0.0,-1274_0,16.81,Vehicle,27.83,494.72,1856.62,8.81,VehicleFlowEastToSouth.0
6.0,0.0,-1274_0,16.81,Vehicle,10.71,511.12,1851.67,5.05,VehicleFlowEastToWest.0
6.0,0.0,-1354_0,-93.35,Vehicle,56.95,423.78,1801.24,12.74,VehicleFlowEastToWest_0.0
6.0,0.0,-1280#0_0,-55.09,Vehicle,58.97,726.24,2306.33,13.39,VehicleFlowEastToWest_1.0
6.0,0.0,-1328#0_1,18.54,Vehicle,53.86,998.0,618.44,12.85,VehicleFlowWestToEast.0
6.0,0.0,-1328#0_0,18.54,Vehicle,4.1,1044.08,599.52,0.0,VehicleFlowWestToEast.1
6.0,0.0,229259796#0_0,71.4,Vehicle,61.44,663.12,1038.62,13.56,VehicleFlowWestToEast_0.0
6.0,0.0,-1328#0_0,18.54,Vehicle,27.76,1021.62,607.05,10.36,VehicleFlowWestToNorth.0
6.0,0.0,-1324_0,69.8,Vehicle,61.37,757.28,787.75,13.84,VehicleFlowWestToSouth.0
7.0,0.0,-1356_0,-101.4,Bus,38.28,562.21,1557.4,4.61,BusFlowEastWest0.0
7.0,0.0,28925528_1,-18.22,Bus,66.33,668.51,1245.29,13.42,BusFlowNorthSouth0.0
7.0,0.0,239331354_0,160.22,Bus,62.19,524.11,1202.69,14.46,BusFlowSouthNorth0.0
7.0,0.0,-240120122_0,67.65,Bus,61.76,690.11,925.71,13.3,BusFlowWestEast0.0
7.0,0.0,-1274_0,3.13,Vehicle,75.43,448.13,1865.92,15.9,VehicleFlowEastToNorth.0
7.0,0.0,-1274_0,14.21,Vehicle,39.72,483.31,1859.88,11.88,VehicleFlowEastToSouth.0
7.0,0.0,-1274_0,16.81,Vehicle,18.97,503.21,1854.06,8.26,VehicleFlowEastToWest.0
7.0,0.0,-1354_0,-93.35,Vehicle,70.47,424.57,1787.78,13.52,VehicleFlowEastToWest_0.0
7.0,0.0,-1280#0_0,-55.09,Vehicle,71.57,719.04,2296.02,12.59,VehicleFlowEastToWest_1.0
7.0,0.0,-1328#0_1,18.54,Vehicle,67.19,985.39,622.67,13.33,VehicleFlowWestToEast.0
7.0,0.0,-1328#0_0,18.54,Vehicle,7.62,1040.74,600.63,3.52,VehicleFlowWestToEast.1
7.0,0.0,229259796#0_0,71.4,Vehicle,74.31,659.01,1050.81,12.87,VehicleFlowWestToEast_0.0
7.0,0.0,-1328#0_1,18.54,Vehicle,41.32,1009.88,614.45,13.56,VehicleFlowWestToNorth.0
7.0,0.0,-1324_0,69.8,Vehicle,75.12,752.53,800.66,13.75,VehicleFlowWestToSouth.0
8.0,0.0,-1356_0,-101.4,Bus,42.96,563.13,1552.81,4.68,BusFlowEastWest0.0
8.0,0.0,28925528_1,-29.54,Bus,79.5,656.84,1239.41,13.17,BusFlowNorthSouth0.0
8.0,0.0,239331354_0,160.22,Bus,78.29,539.22,1208.12,16.11,BusFlowSouthNorth0.0
8.0,0.0,-240120122_0,67.65,Bus,74.35,685.32,937.35,12.6,BusFlowWestEast0.0
8.0,0.0,-1274_0,3.05,Vehicle,87.13,436.45,1866.55,11.7,VehicleFlowEastToNorth.0
8.0,0.0,-1274_0,10.65,Vehicle,55.01,468.27,1862.71,15.29,VehicleFlowEastToSouth.0
8.0,0.0,-1274_0,16.81,Vehicle,29.26,493.36,1857.04,10.29,VehicleFlowEastToWest.0
8.0,0.0,-1354_0,-99.22,Vehicle,83.61,425.74,1774.74,13.14,VehicleFlowEastToWest_0.0
8.0,0.0,-1280#0_0,-55.09,Vehicle,85.41,711.12,2284.67,13.85,VehicleFlowEastToWest_1.0
8.0,0.0,-1328#0_1,18.54,Vehicle,79.97,973.28,626.73,12.78,VehicleFlowWestToEast.0
8.0,0.0,-1328#0_0,18.54,Vehicle,14.07,1034.61,602.69,6.46,VehicleFlowWestToEast.1
8.0,0.0,229259796#0_0,71.4,Vehicle,87.15,654.92,1062.98,12.84,VehicleFlowWestToEast_0.0
8.0,0.0,229259796#0_0,71.4,Vehicle,4.1,681.4,984.27,0.0,VehicleFlowWestToEast_0.1
8.0,0.0,-1328#0_1,18.54,Vehicle,54.51,997.39,618.64,13.19,VehicleFlowWestToNorth.0
8.0,0.0,-1324_0,69.8,Vehicle,87.25,748.34,812.06,12.13,VehicleFlowWestToSouth.0
9.0,0.0,-1356_0,-101.99,Bus,47.59,564.11,1548.28,4.63,BusFlowEastWest0.0
9.0,0.0,28925528_1,-29.54,Bus,88.37,649.16,1235.05,8.86,BusFlowNorthSouth0.0
9.0,0.0,239331354_0,160.22,Bus,93.49,553.48,1213.25,15.19,BusFlowSouthNorth0.0
9.0,0.0,-240120122_0,67.65,Bus,87.15,680.45,949.19,12.8,BusFlowWestEast0.0
9.0,0.0,-1274_0,1.75,Vehicle,94.33,429.27,1866.84,7.2,VehicleFlowEastToNorth.0
9.0,0.0,-1274_0,10.65,Vehicle,70.71,452.85,1865.61,15.7,VehicleFlowEastToSouth.0
9.0,0.0,-1274_0,10.65,Vehicle,42.31,480.76,1860.36,13.05,VehicleFlowEastToWest.0
9.0,0.0,-1354_0,-100.83,Vehicle,95.75,428.02,1762.84,12.14,VehicleFlowEastToWest_0.0
9.0,0.0,-1280#0_0,-55.09,Vehicle,98.69,703.53,2273.8,13.27,VehicleFlowEastToWest_1.0
9.0,0.0,-1328#0_1,19.63,Vehicle,92.97,960.99,630.93,13.0,VehicleFlowWestToEast.0
9.0,0.0,-1328#0_0,18.54,Vehicle,23.6,1025.57,605.72,9.52,VehicleFlowWestToEast.1
9.0,0.0,229259796#0_0,71.4,Vehicle,99.47,650.99,1074.65,12.32,VehicleFlowWestToEast_0.0
9.0,0.0,229259796#0_0,71.4,Vehicle,6.67,680.58,986.7,2.57,VehicleFlowWestToEast_0.1
9.0,0.0,-1328#0_1,18.54,Vehicle,67.63,984.96,622.81,13.12,VehicleFlowWestToNorth.0
9.0,0.0,-1324_0,69.17,Vehicle,100.4,743.75,824.4,13.15,VehicleFlowWestToSouth.0
10.0,0.0,-1356_0,-102.46,Bus,52.94,565.26,1543.06,5.35,BusFlowEastWest0.0
10.0,0.0,28925528_1,-29.54,Bus,94.05,644.23,1232.26,5.68,BusFlowNorthSouth0.0
10.0,0.0,239331354_0,156.78,Bus,104.18,563.36,1217.18,10.69,BusFlowSouthNorth0.0
10.0,0.0,-240120122_0,67.65,Bus,99.77,675.65,960.86,12.62,BusFlowWestEast0.0
10.0,0.0,:431399507_0_0,-39.38,Vehicle,5.15,421.44,1862.71,9.58,VehicleFlowEastToNorth.0
10.0,0.0,-1274_0,3.1,Vehicle,81.91,441.67,1866.27,11.2,VehicleFlowEastToSouth.0
10.0,0.0,-1274_0,10.65,Vehicle,57.44,465.89,1863.16,15.13,VehicleFlowEastToWest.0
10.0,0.0,-1354_0,-100.83,Vehicle,108.97,430.49,1749.89,13.22,VehicleFlowEastToWest_0.0
10.0,0.0,-1280#0_0,-56.23,Vehicle,111.87,696.11,2262.91,13.19,VehicleFlowEastToWest_1.0
10.0,0.0,-1328#0_1,22.52,Vehicle,106.36,948.65,636.05,13.38,VehicleFlowWestToEast.0
10.0,0.0,-1328#0_1,18.54,Vehicle,35.86,1015.05,612.72,12.26,VehicleFlowWestToEast.1
10.0,0.0,229259796#0_0,71.4,Vehicle,113.1,646.64,1087.58,13.64,VehicleFlowWestToEast_0.0
10.0,0.0,229259796#0_0,71.4,Vehicle,11.25,679.12,991.04,4.58,VehicleFlowWestToEast_0.1
10.0,0.0,-1328#0_1,18.54,Vehicle,80.24,973.02,626.81,12.61,VehicleFlowWestToNorth.0
10.0,0.0,-1324_0,69.17,Vehicle,114.21,738.83,837.33,13.81,VehicleFlowWestToSouth.0
11.0,0.0,-1356_0,-102.46,Bus,57.18,566.18,1538.92,4.24,BusFlowEastWest0.0
11.0,0.0,28925528_1,-29.54,Bus,95.37,643.09,1231.62,1.32,BusFlowNorthSouth0.0
11.0,0.0,239331354_0,148.87,Bus,111.12,569.28,1220.76,6.94,BusFlowSouthNorth0.0
11.0,0.0,-240120122_0,67.65,Bus,112.89,670.66,973.0,13.12,BusFlowWestEast0.0
11.0,0.0,-1354_0,-93.35,Vehicle,7.07,420.87,1850.92,12.56,VehicleFlowEastToNorth.0
11.0,0.0,-1274_0,2.99,Vehicle,90.84,432.75,1866.74,8.93,VehicleFlowEastToSouth.0
11.0,0.0,-1274_0,10.65,Vehicle,69.67,453.86,1865.42,12.24,VehicleFlowEastToWest.0
11.0,0.0,-1354_0,-100.83,Vehicle,121.83,432.91,1737.29,12.86,VehicleFlowEastToWest_0.0
11.0,0.0,-1280#0_0,-56.23,Vehicle,124.22,689.25,2252.66,12.35,VehicleFlowEastToWest_1.0
11.0,0.0,-1328#0_1,22.52,Vehicle,119.05,936.93,640.91,12.7,VehicleFlowWestToEast.0
11.0,0.0,-1328#0_1,18.54,Vehicle,48.69,1002.9,616.79,12.83,VehicleFlowWestToEast.1
11.0,0.0,229259796#0_0,71.4,Vehicle,125.77,642.6,1099.58,12.66,VehicleFlowWestToEast_0.0
11.0,0.0,229259796#0_0,71.4,Vehicle,18.36,676.85,997.78,7.11,VehicleFlowWestToEast_0.1
11.0,0.0,-1328#0_1,20.01,Vehicle,93.36,960.64,631.07,13.11,VehicleFlowWestToNorth.0
11.0,0.0,-1324_0,69.17,Vehicle,127.92,733.95,850.15,13.7,VehicleFlowWestToSouth.0
12.0,0.0,-1356_0,-102.46,Bus,62.72,567.37,1533.51,5.54,BusFlowEastWest0.0
12.0,0.0,28925528_1,-29.54,Bus,95.53,642.95,1231.54,0.16,BusFlowNorthSouth0.0
12.0,0.0,239331354_0,148.86,Bus,113.56,571.36,1222.02,2.44,BusFlowSouthNorth0.0
12.0,0.0,-240120122_0,67.65,Bus,126.1,665.64,985.22,13.21,BusFlowWestEast0.0
12.0,0.0,-1354_0,-93.35,Vehicle,20.12,421.63,1837.93,13.04,VehicleFlowEastToNorth.0
12.0,0.0,-1274_0,-6.32,Vehicle,95.82,427.86,1866.36,4.98,VehicleFlowEastToSouth.0
12.0,0.0,-1274_0,3.1,Vehicle,79.22,444.35,1866.12,9.55,VehicleFlowEastToWest.0
12.0,0.0,-1354_0,-100.83,Vehicle,134.28,435.24,1725.08,12.45,VehicleFlowEastToWest_0.0
12.0,0.0,-1280#0_0,-56.23,Vehicle,138.11,681.54,2241.12,13.89,VehicleFlowEastToWest_1.0
12.0,0.0,-1328#0_1,22.52,Vehicle,132.92,924.14,646.21,13.86,VehicleFlowWestToEast.0
12.0,0.0,-1328#0_1,18.54,Vehicle,60.98,991.26,620.7,12.29,VehicleFlowWestToEast.1
12.0,0.0,229259796#0_0,71.4,Vehicle,139.36,638.27,1112.46,13.59,VehicleFlowWestToEast_0.0
12.0,0.0,229259796#0_0,71.4,Vehicle,28.45,673.64,1007.35,10.09,VehicleFlowWestToEast_0.1
12.0,0.0,-1328#0_1,22.52,Vehicle,105.48,949.45,635.71,12.12,VehicleFlowWestToNorth.0
12.0,0.0,-1324_0,69.17,Vehicle,141.2,729.23,862.58,13.28,VehicleFlowWestToSouth.0
13.0,0.0,-1356_0,-102.46,Bus,67.99,568.51,1528.36,5.27,BusFlowEastWest0.0
13.0,0.0,28925528_1,-29.54,Bus,95.56,642.93,1231.52,0.03,BusFlowNorthSouth0.0
13.0,0.0,239331354_0,148.85,Bus,114.18,571.89,1222.34,0.63,BusFlowSouthNorth0.0
13.0,0.0,-240120122_0,67.65,Bus,139.78,660.44,997.86,13.68,BusFlowWestEast0.0
13.0,0.0,-1354_0,-93.35,Vehicle,32.32,422.34,1825.78,12.2,VehicleFlowEastToNorth.0
13.0,0.0,:431399507_0_0,-34.18,Vehicle,4.11,422.07,1863.39,7.06,VehicleFlowEastToSouth.0
13.0,0.0,-1274_0,3.06,Vehicle,86.66,436.92,1866.52,7.44,VehicleFlowEastToWest.0
13.0,0.0,-1354_0,-100.83,Vehicle,147.29,437.68,1712.33,13.01,VehicleFlowEastToWest_0.0
13.0,0.0,-1280#0_0,-56.23,Vehicle,151.17,674.29,2230.28,13.06,VehicleFlowEastToWest_1.0
13.0,0.0,-1328#0_1,22.52,Vehicle,145.17,912.84,650.9,12.25,VehicleFlowWestToEast.0
13.0,0.0,-1328#0_1,18.54,Vehicle,74.67,978.3,625.04,13.68,VehicleFlowWestToEast.1
13.0,0.0,-1328#0_0,18.54,Vehicle,4.1,1044.08,599.52,0.0,VehicleFlowWestToEast.2
13.0,0.0,229259796#0_0,71.4,Vehicle,152.54,634.07,1124.95,13.18,VehicleFlowWestToEast_0.0
13.0,0.0,229259796#0_0,71.4,Vehicle,40.35,669.84,1018.62,11.9,VehicleFlowWestToEast_0.1
13.0,0.0,-1328#0_1,22.52,Vehicle,118.63,937.32,640.74,13.15,VehicleFlowWestToNorth.0
13.0,0.0,-1324_0,69.17,Vehicle,153.68,724.79,874.25,12.48,VehicleFlowWestToSouth.0
14.0,0.0,-1356_0,-102.46,Bus,73.28,569.65,1523.2,5.29,BusFlowEastWest0.0
14.0,0.0,28925528_1,-29.54,Bus,95.57,642.91,1231.52,0.01,BusFlowNorthSouth0.0
14.0,0.0,239331354_0,148.85,Bus,114.58,572.24,1222.55,0.4,BusFlowSouthNorth0.0
14.0,0.0,-240120122_0,67.52,Bus,152.38,655.62,1009.51,12.6,BusFlowWestEast0.0
14.0,0.0,-1354_0,-93.35,Vehicle,46.01,423.14,1812.15,13.68,VehicleFlowEastToNorth.0
14.0,0.0,-1354_0,-92.65,Vehicle,3.55,420.67,1854.44,10.08,VehicleFlowEastToSouth.0
14.0,0.0,-1274_0,0.84,Vehicle,94.5,429.11,1866.78,7.84,VehicleFlowEastToWest.0
14.0,0.0,-1354_0,-100.83,Vehicle,159.76,440.02,1700.11,12.47,VehicleFlowEastToWest_0.0
14.0,0.0,-1280#0_0,-56.23,Vehicle,164.65,666.8,2219.08,13.48,VehicleFlowEastToWest_1.0
14.0,0.0,-1328#0_1,24.16,Vehicle,157.76,901.27,655.82,12.59,VehicleFlowWestToEast.0
14.0,0.0,-1328#0_1,18.54,Vehicle,87.9,965.77,629.24,13.23,VehicleFlowWestToEast.1
14.0,0.0,-1328#0_0,18.54,Vehicle,6.9,1041.42,600.41,2.8,VehicleFlowWestToEast.2
14.0,0.0,229259796#0_0,71.4,Vehicle,165.38,629.97,1137.13,12.85,VehicleFlowWestToEast_0.0
14.0,0.0,229259796#0_0,71.4,Vehicle,54.0,665.49,1031.56,13.66,VehicleFlowWestToEast_0.1
14.0,0.0,-1328#0_1,22.52,Vehicle,131.72,925.25,645.75,13.09,VehicleFlowWestToNorth.0
14.0,0.0,-1324_0,69.17,Vehicle,167.39,719.9,887.08,13.71,VehicleFlowWestToSouth.0
15.0,0.0,-1356_0,-102.46,Bus,78.79,570.84,1517.82,5.51,BusFlowEastWest0.0
