0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05314,0.05314,0.05466,0.05466,0.05466,0.0515199999999999,0.0515199999999999,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05161,0.05161,0.05325,0.05325,0.05325,0.05164,0.05619,0.05455,0.05455,0.05455,0.05455,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05338,0.05338,0.05338,0.05338,0.05338,0.05,0.05,0.05,0.05,0.05,0.0502,0.05022,0.05022,0.05022,0.05022,0.0500199999999999,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05023,0.05023,0.05023,0.05023,0.05023,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0.06545,0.0615874999999999,0.05927,0.06377,0.05571,0.0621,0.0621,0.06275,0.05927,0.07486,0.08413,0.08413,0.08348,0.08127,0.06568,0.05,0.05,0.0720099999999999,0.1243145,0.2092753,0.3003454,0.3722769,0.4129999,0.4301364,0.4142184,0.3935489,0.4232927,0.4348558999999999,0.4397110999999999,0.4543262,0.4533666,0.4257413,0.4258233999999999,0.4328626,0.4592047,0.4997637,0.5357137,0.5713353999999999,0.6,0.6,0.6,0.6,0.6,0.5978066,0.5853618,0.5765651,0.4951151,0.4061351,0.2983285,0.2007733,0.09957,0.07359,0.0525699999999999,0.0525699999999999,0.0525699999999999,0.07047,0.09306,0.1111399999999999,0.12919,0.14736,0.14733,0.14013,0.1220499999999999,0.104,0.0858299999999999,0.0679599999999999,0.05,0.05,0.05026,0.05026,0.05026,0.05026,0.1305725,0.2130207,0.3230207,0.4232827999999999,0.5332828000000001,0.5629703,0.4802621,0.3772121,0.27695,0.16695,0.06099,0.0619399999999999,0.05499,0.05499,0.05499,0.0509499999999999,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0.3130633,0.276535,0.3647688,0.4282696,0.5227879,0.5541661,0.6193441,0.5917726,0.5248745,0.4177262,0.3620593,0.2894113,0.197052,0.13557,0.14355,0.12618,0.13419,0.13281,0.1431,0.170292,0.1986541,0.2225921,0.2511151,0.2818996,0.2827922,0.2619301,0.2726601,0.2666072,0.2378927,0.2247260999999999,0.261934,0.2759977,0.3125828,0.3772986,0.4670196,0.5476785,0.5400560999999999,0.6017764999999999,0.6207326,0.6140388999999999,0.5802997000000001,0.5740067,0.542582,0.5182518,0.4722484999999999,0.4441064,0.4811601,0.5057168,0.5625052,0.6066847,0.6304697,0.6317616,0.6269008,0.5861168,0.5400711,0.5162031,0.5363209,0.4920719,0.5296839,0.5392266,0.5565356,0.5338418,0.5212347,0.4482287,0.5973202,0.7338987,0.7935472,0.8984071,0.9832838,0.8714029999999999,0.8219944,0.7283676,0.6244365000000001,0.5250803,0.4544894,0.307548,0.3018824,0.2898296,0.2998848,0.3361876,0.3744692,0.3542971,0.3540128,0.3303544,0.2799932,0.2581275,0.28374,0.2613175,0.2586283,0.2646449,0.2540657,0.2205331999999999,0.2167231999999999,0.2103632,0.1958866,0.18147,0.1808624999999999,0.17985
0.0520333,0.051525,0.05122,0.05232,0.0511,0.0511,0.0511,0.0511,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05203,0.05203,0.05203,0.05203,0.05203,0.05,0.05,0.05,0.0504099999999999,0.0504099999999999,0.07539,0.07539,0.07539,0.07498,0.07498,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05233,0.05233,0.05233,0.05233,0.05233,0.0509499999999999,0.0509499999999999,0.0509499999999999,0.0509499999999999,0.0509499999999999,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.08095,0.08095,0.08095,0.08095,0.08095,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0.5050368,0.5287776,0.5430221000000001,0.5007916,0.42882,0.34002,0.2342099999999999,0.12798,0.1206,0.1544345,0.2402657,0.3460757,0.4523057,0.5393357,0.4936212,0.40539,0.29586,0.18586,0.07972,0.07313,0.05433,0.05386,0.1427835,0.2489235,0.3589235,0.4689235,0.4708035,0.38188,0.27188,0.16188,0.05188,0.05,0.05,0.05,0.08275,0.19275,0.3027499999999999,0.41275,0.42069,0.38883,0.28578,0.17979,0.1113105,0.1063004999999999,0.1076805,0.1007304999999999,0.0967205,0.0552,0.05227,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1402624,0.2468103,0.3568102999999999,0.4612436,0.4728136,0.3858412,0.2792933,0.1692933,0.06486,0.05329,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05029,0.05029,0.05029,0.05029,0.05029,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05086,0.05172,0.0521499999999999,0.0528667
0.188,0.19275,0.19014,0.19155,0.18765,0.1887899999999999,0.18255,0.18486,0.15858,0.1335599999999999,0.10632,0.0822,0.05463,0.05433,0.05499,0.05431,0.0551799999999999,0.05602,0.05692,0.05842,0.0621,0.06303,0.0695699999999999,0.07404,0.07749,0.10584,0.1331399999999999,0.15579,0.17853,0.20505,0.2031899999999999,0.20529,0.17964,0.1545,0.12828,0.10464,0.07848,0.08172,0.08664,0.1016999999999999,0.10404,0.11172,0.11787,0.12678,0.1327499999999999,0.15576,0.17265,0.1866,0.19749,0.1998599999999999,0.19794,0.19974,0.20127,0.20292,0.20727,0.20718,0.18897,0.237156,0.237276,0.210096,0.201186,0.201876,0.13245,0.11046,0.13305,0.14406,0.13701,0.13971,0.13326,0.10617,0.08061,0.07821,0.07245,0.08307,0.09051,0.08949,0.08964,0.08964,0.08847,0.08451,0.07912,0.07349,0.06992,0.0613099999999999,0.059,0.06271,0.06636,0.0643,0.0679,0.09925,0.13036,0.12772,0.12873,0.1226699999999999,0.09084,0.05856,0.0594375,0.0608999999999999
0.08395,0.0775875,0.18207,0.1787099999999999,0.17616,0.1802699999999999,0.20937,0.10035,0.10158,0.10539,0.09861,0.06781,0.07648,0.07258,0.07192,0.07207,0.07284,0.07023,0.06963,0.06609,0.06286,0.06209,0.06107,0.06704,0.07055,0.07816,0.08409,0.08103,0.07641,0.07671,0.07254,0.07671,0.07725,0.07992,0.08403,0.09162,0.08742,0.09162,0.0980999999999999,0.09852,0.0973199999999999,0.10041,0.1027199999999999,0.1071299999999999,0.11112,0.11205,0.1161899999999999,0.1200599999999999,0.1101299999999999,0.1022999999999999,0.10236,0.0930899999999999,0.08346,0.081,0.07968,0.07923,0.08451,0.09396,0.1032899999999999,0.10662,0.10581,0.10395,0.0954899999999999,0.08586,0.0792,0.0726,0.06885,0.0732299999999999,0.07932,0.07962,0.078,0.0815999999999999,0.07227,0.06342,0.0621,0.06465,0.0612,0.07137,0.0717899999999999,0.0741,0.07395,0.07281,0.06594,0.06996,0.07476,0.07269,0.07326,0.07659,0.07689,0.0702899999999999,0.0706799999999999,0.07542,0.07635,0.07416,0.08145,0.08073,0.0786,0.0750499999999999
0.0543166999999999,0.0532375,0.05354,0.0516,0.0516,0.0509499999999999,0.08034,0.10275,0.1155799999999999,0.13882,0.14331,0.11392,0.11611,0.12658,0.10678,0.10663,0.10965,0.0841,0.06325,0.0598099999999999,0.05927,0.08057,0.08113,0.07868,0.08083,0.08773,0.06341,0.0628499999999999,0.0628499999999999,0.0607,0.05,0.05,0.05026,0.05055,0.05055,0.05055,0.05055,0.05029,0.05,0.05,0.05,0.05143,0.05143,0.05424,0.05558,0.05558,0.05432,0.05491,0.06307,0.0617299999999999,0.06196,0.06179,0.06122,0.0504499999999999,0.0544,0.05662,0.05662,0.0566,0.06146,0.06191,0.06317,0.06475,0.07083,0.06577,0.0622,0.0598,0.05914,0.0530599999999999,0.05386,0.05303,0.05172,0.0508,0.0508,0.05,0.05,0.05,0.05188,0.05188,0.05352,0.05352,0.05352,0.0534599999999999,0.0534599999999999,0.05182,0.05182,0.05182,0.05,0.05098,0.05098,0.05098,0.05098,0.05098,0.05,0.05,0.05,0.05,0.05,0.05
0.0507832999999999,0.0505874999999999,0.05047,0.05047,0.05047,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0500199999999999,0.0500199999999999,0.0500199999999999,0.0500199999999999,0.0500199999999999,0.0510399999999999,0.0510399999999999,0.0510399999999999,0.0510399999999999,0.0510399999999999,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05017,0.05017,0.05017,0.05017,0.05017,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05005,0.05005,0.05005,0.05005,0.05005,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05,0.05,0.05,0.07378,0.07378,0.07378,0.07378,0.07378,0.05,0.05,0.05,0.05,0.05116,0.05121,0.05121,0.05121,0.05121,0.05005,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0.0500333,0.050025,0.0500199999999999,0.05,0.05,0.05,0.05,0.05,0.05,0.0712,0.0712,0.0712,0.0712,0.0712,0.05,0.05,0.05,0.05,0.05,0.05,0.05293,0.05293,0.05293,0.05293,0.05293,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06286,0.06286,0.06286,0.06286,0.06286,0.05212,0.05212,0.05212,0.05212,0.05212,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05332,0.05332,0.05332,0.05332,0.0601199999999999,0.0567999999999999,0.0567999999999999,0.0567999999999999,0.0567999999999999,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0.0546332999999999,0.0553375,0.05427,0.05149,0.05149,0.05149,0.05,0.05,0.06895,0.06895,0.06895,0.06895,0.06895,0.05,0.0619,0.06405,0.0647,0.0673,0.0673,0.0554,0.0616399999999999,0.06099,0.05839,0.05839,0.05839,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05026,0.05026,0.05026,0.05026,0.05026,0.05,0.05,0.05029,0.05029,0.05029,0.05029,0.05029,0.05,0.05,0.05005,0.05005,0.05022,0.05022,0.05022,0.05017,0.05017,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05092,0.05092,0.05092,0.05092,0.05092,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05278,0.05278,0.05278,0.0549599999999999,0.05714,0.05436,0.05436,0.05436,0.05218,0.05,0.05,0.05
